Date,Bullish,Neutral,Bearish,Total,8-week,Spread,SPYHighWk,SPYLowWK,SPYCloseWK
7/17/1987,,,,,,,314.59,307.63,314.59
7/24/1987,36.00%,50.00%,14.00%,100%,,22.00%,311.39,307.81,309.27
7/31/1987,26.00%,48.00%,26.00%,100%,,0.00%,318.66,310.65,318.66
8/7/1987,56.00%,15.00%,29.00%,100%,,27.00%,323,316.23,323
8/14/1987,45.00%,35.00%,20.00%,100%,,25.00%,334.65,323,333.99
8/21/1987,66.00%,28.00%,6.00%,100%,,60.00%,335.9,329.25,335.9
8/28/1987,52.00%,18.00%,30.00%,100%,,22.00%,331.38,323.04,323.04
9/4/1987,42.00%,17.00%,41.00%,100%,,1.00%,329.79,316.7,316.7
9/11/1987,50.00%,23.00%,27.00%,100%,46.63%,23.00%,321.98,313.56,321.98
9/18/1987,60.00%,29.00%,11.00%,100%,49.63%,49.00%,323.08,314.86,314.86
9/25/1987,53.00%,17.00%,30.00%,100%,53.00%,23.00%,321.19,310.54,320.16
10/2/1987,44.00%,26.00%,30.00%,100%,51.50%,14.00%,328.07,321.69,328.07
10/9/1987,46.00%,39.00%,15.00%,100%,51.63%,31.00%,328.08,311.07,311.07
10/16/1987,37.00%,30.00%,33.00%,100%,48.00%,4.00%,314.52,282.7,282.7
10/23/1987,39.00%,30.00%,31.00%,100%,46.38%,8.00%,258.39,224.84,248.22
10/30/1987,44.00%,23.00%,33.00%,100%,46.63%,11.00%,251.79,227.67,251.79
11/6/1987,47.00%,31.00%,22.00%,100%,46.25%,25.00%,255.75,248.31,250.41
11/13/1987,31.00%,41.00%,28.00%,100%,42.63%,3.00%,248.52,239,245.64
11/20/1987,39.00%,42.00%,19.00%,100%,40.88%,20.00%,246.76,240.05,242
11/27/1987,27.00%,46.00%,27.00%,100%,38.75%,0.00%,246.39,240.34,240.34
12/4/1987,25.00%,33.00%,42.00%,100%,36.13%,-17.00%,233.45,223.92,223.92
12/11/1987,23.00%,45.00%,32.00%,100%,34.38%,-9.00%,238.89,228.76,235.32
12/18/1987,33.00%,40.00%,27.00%,100%,33.63%,6.00%,249.16,242.19,249.16
12/24/1987,28.00%,52.00%,20.00%,100%,31.63%,8.00%,253.16,249.54,252.02
12/31/1987,25.00%,49.00%,26.00%,100%,28.88%,-1.00%,247.86,244.59,247.08
1/8/1988,34.00%,46.00%,20.00%,100%,29.25%,14.00%,261.07,243.4,243.4
1/15/1988,34.00%,40.00%,26.00%,100%,28.63%,8.00%,252.05,245.42,252.05
1/22/1988,21.00%,48.00%,31.00%,100%,27.88%,-10.00%,251.88,242.63,246.5
1/29/1988,26.00%,45.00%,29.00%,100%,28.00%,-3.00%,257.07,249.38,257.07
2/5/1988,32.00%,53.00%,15.00%,100%,29.13%,17.00%,255.57,250.96,250.96
2/12/1988,32.00%,46.00%,22.00%,100%,29.00%,10.00%,257.63,249.1,257.63
2/19/1988,27.00%,49.00%,24.00%,100%,28.88%,3.00%,261.61,257.91,261.61
2/26/1988,30.00%,51.00%,19.00%,100%,29.50%,11.00%,265.64,261.58,262.46
3/4/1988,38.00%,40.00%,22.00%,100%,30.00%,16.00%,267.98,267.22,267.3
3/11/1988,43.00%,40.00%,17.00%,100%,31.13%,26.00%,269.43,263.84,264.94
3/18/1988,41.00%,49.00%,10.00%,100%,33.63%,31.00%,271.22,266.13,271.12
3/25/1988,45.00%,38.00%,17.00%,100%,36.00%,28.00%,268.91,258.51,258.51
4/1/1988,35.00%,45.00%,20.00%,100%,36.38%,15.00%,260.07,258.06,258.89
4/8/1988,33.00%,48.00%,19.00%,100%,36.50%,14.00%,269.43,256.09,269.43
4/15/1988,23.00%,53.00%,24.00%,100%,36.00%,-1.00%,271.55,259.75,259.77
4/22/1988,23.00%,57.00%,20.00%,100%,35.13%,3.00%,260.14,256.13,260.14
4/29/1988,22.00%,48.00%,30.00%,100%,33.13%,-8.00%,263.93,261.33,261.33
5/6/1988,38.00%,42.00%,20.00%,100%,32.50%,18.00%,263,257.48,257.48
5/13/1988,19.00%,56.00%,25.00%,100%,29.75%,-6.00%,257.62,253.31,256.78
5/20/1988,23.00%,52.00%,25.00%,100%,27.00%,-2.00%,258.71,251.35,253.02
5/27/1988,28.00%,52.00%,20.00%,100%,26.13%,8.00%,254.63,250.83,253.42
6/3/1988,26.00%,62.00%,12.00%,100%,25.25%,14.00%,266.69,262.16,266.45
6/10/1988,28.00%,49.00%,23.00%,100%,25.88%,5.00%,271.52,265.17,271.26
6/17/1988,29.00%,50.00%,21.00%,100%,26.63%,8.00%,274.44,269.77,270.68
6/24/1988,33.00%,44.00%,23.00%,100%,28.00%,10.00%,275.66,268.94,273.78
7/1/1988,45.00%,38.00%,17.00%,100%,28.88%,28.00%,273.5,269.07,271.78
7/8/1988,35.00%,50.00%,15.00%,100%,30.88%,20.00%,275.8,270.02,270.02
7/15/1988,26.00%,37.00%,37.00%,100%,31.25%,-11.00%,272.05,267.77,272.05
7/22/1988,16.00%,58.00%,26.00%,100%,29.75%,-10.00%,270.51,263.5,263.5
7/29/1988,23.00%,54.00%,23.00%,100%,29.38%,0.00%,272.02,262.5,272.02
8/5/1988,21.00%,49.00%,30.00%,100%,28.50%,-9.00%,272.98,271.15,271.15
8/12/1988,26.00%,48.00%,26.00%,100%,28.13%,0.00%,269.98,261.9,262.55
8/19/1988,19.00%,53.00%,28.00%,100%,26.38%,-9.00%,261.03,258.69,260.24
8/26/1988,28.00%,40.00%,32.00%,100%,24.25%,-4.00%,261.13,256.98,259.68
9/2/1988,18.00%,43.00%,39.00%,100%,22.13%,-21.00%,264.48,258.35,264.48
9/9/1988,17.00%,52.00%,31.00%,100%,21.00%,-14.00%,266.84,265.59,266.84
9/16/1988,24.00%,46.00%,30.00%,100%,22.00%,-6.00%,270.65,266.47,270.65
9/23/1988,20.00%,53.00%,27.00%,100%,21.63%,-7.00%,270.16,268.82,269.76
9/30/1988,26.00%,44.00%,30.00%,100%,22.25%,-4.00%,272.59,268.26,271.91
10/7/1988,13.00%,49.00%,38.00%,100%,20.63%,-25.00%,278.07,270.62,278.07
10/14/1988,22.00%,46.00%,32.00%,100%,21.00%,-10.00%,278.24,273.98,275.5
10/21/1988,26.00%,51.00%,23.00%,100%,20.75%,3.00%,283.66,276.41,283.66
10/28/1988,40.00%,38.00%,22.00%,100%,23.50%,18.00%,282.38,277.28,278.53
11/4/1988,35.00%,46.00%,19.00%,100%,25.75%,16.00%,279.2,276.31,276.31
11/11/1988,23.00%,56.00%,21.00%,100%,25.63%,2.00%,275.15,267.92,267.92
11/18/1988,30.00%,34.00%,36.00%,100%,26.88%,-6.00%,268.34,263.82,266.47
11/25/1988,17.00%,44.00%,39.00%,100%,25.75%,-22.00%,269,266.22,267.23
12/2/1988,19.00%,47.00%,34.00%,100%,26.50%,-15.00%,273.7,268.64,271.81
12/9/1988,17.00%,44.00%,39.00%,100%,25.88%,-22.00%,278.13,274.93,277.03
12/16/1988,24.00%,54.00%,22.00%,100%,25.63%,2.00%,276.52,274.28,276.29
12/23/1988,22.00%,46.00%,32.00%,100%,23.38%,-10.00%,278.91,276.87,277.87
12/30/1988,24.00%,54.00%,22.00%,100%,22.00%,2.00%,279.4,276.83,277.72
1/6/1989,26.00%,51.00%,23.00%,100%,22.38%,3.00%,280.67,275.31,280.67
1/13/1989,36.00%,44.00%,20.00%,100%,23.13%,16.00%,283.87,280.38,283.87
1/20/1989,36.00%,47.00%,17.00%,100%,25.50%,19.00%,286.9,283.55,286.63
1/27/1989,32.00%,49.00%,19.00%,100%,27.13%,13.00%,293.82,284.5,293.82
2/3/1989,33.00%,44.00%,23.00%,100%,29.13%,10.00%,297.47,294.99,296.97
2/10/1989,43.00%,31.00%,26.00%,100%,31.50%,17.00%,299.63,292.02,292.02
2/17/1989,42.00%,41.00%,17.00%,100%,34.00%,25.00%,296.76,291.81,296.76
2/24/1989,29.00%,45.00%,26.00%,100%,34.63%,3.00%,295.98,287.13,287.13
3/3/1989,29.00%,35.00%,36.00%,100%,35.00%,-7.00%,291.18,287.11,291.18
3/10/1989,13.00%,52.00%,35.00%,100%,32.13%,-22.00%,294.81,292.88,292.88
3/17/1989,28.00%,43.00%,29.00%,100%,31.13%,-1.00%,299.44,292.69,292.69
3/23/1989,29.00%,41.00%,30.00%,100%,30.75%,-1.00%,291.33,288.98,288.98
3/31/1989,18.00%,42.00%,40.00%,100%,28.88%,-22.00%,294.87,290.57,294.87
4/7/1989,23.00%,45.00%,32.00%,100%,26.38%,-9.00%,297.16,295.29,297.16
4/14/1989,25.00%,42.00%,33.00%,100%,24.25%,-8.00%,301.36,297.11,301.36
4/21/1989,21.00%,51.00%,28.00%,100%,23.25%,-7.00%,309.61,301.72,309.61
4/28/1989,31.00%,40.00%,29.00%,100%,23.50%,2.00%,309.64,306.75,309.64
5/5/1989,30.00%,40.00%,30.00%,100%,25.63%,0.00%,309.12,307.61,307.61
5/12/1989,38.00%,43.00%,19.00%,100%,26.88%,19.00%,313.84,305.19,313.84
5/19/1989,43.00%,38.00%,19.00%,100%,28.63%,24.00%,321.24,315.28,321.24
5/26/1989,48.00%,31.00%,21.00%,100%,32.38%,27.00%,321.98,318.32,321.59
6/2/1989,42.00%,27.00%,31.00%,100%,34.75%,11.00%,325.52,319.05,325.52
6/9/1989,43.00%,34.00%,23.00%,100%,37.00%,20.00%,326.95,322.03,326.69
6/16/1989,32.00%,37.00%,31.00%,100%,38.38%,1.00%,326.24,320.08,321.35
6/23/1989,33.00%,22.00%,45.00%,100%,38.63%,-12.00%,328,320.48,328
6/30/1989,40.00%,34.00%,26.00%,100%,39.88%,14.00%,328.44,317.98,317.98
7/7/1989,37.00%,32.00%,31.00%,100%,39.75%,6.00%,324.91,319.23,324.91
7/14/1989,22.00%,30.00%,48.00%,100%,37.13%,-26.00%,331.84,327.07,331.84
7/21/1989,32.00%,39.00%,29.00%,100%,35.13%,3.00%,335.9,331.35,335.9
7/28/1989,41.00%,25.00%,34.00%,100%,35.00%,7.00%,342.15,333.67,342.15
8/4/1989,35.00%,30.00%,35.00%,100%,34.00%,0.00%,346.08,343.75,343.92
8/11/1989,53.00%,21.00%,26.00%,100%,36.63%,27.00%,349.41,344.74,344.74
8/18/1989,35.00%,28.00%,37.00%,100%,36.88%,-2.00%,346.03,343.06,346.03
8/25/1989,45.00%,24.00%,31.00%,100%,37.50%,14.00%,351.52,340.67,350.52
9/1/1989,34.00%,30.00%,36.00%,100%,37.13%,-2.00%,353.73,349.84,353.73
9/8/1989,30.00%,30.00%,40.00%,100%,38.13%,-10.00%,352.56,348.35,348.76
9/15/1989,31.00%,44.00%,25.00%,100%,38.00%,6.00%,348.7,343.16,345.06
9/22/1989,24.00%,37.00%,39.00%,100%,35.88%,-15.00%,347.05,345.7,347.05
9/29/1989,33.00%,38.00%,29.00%,100%,35.63%,4.00%,349.15,344.23,349.15
10/6/1989,24.00%,43.00%,33.00%,100%,32.00%,-9.00%,358.78,350.87,358.78
10/13/1989,28.00%,52.00%,20.00%,100%,31.13%,8.00%,359.8,333.65,333.65
10/20/1989,39.00%,28.00%,33.00%,100%,30.38%,6.00%,347.16,341.16,347.16
10/27/1989,36.00%,33.00%,31.00%,100%,30.63%,5.00%,344.83,335.06,335.06
11/3/1989,37.00%,31.00%,32.00%,100%,31.50%,5.00%,341.2,335.07,337.62
11/10/1989,27.00%,37.00%,36.00%,100%,31.00%,-9.00%,339.1,332.61,339.1
11/17/1989,24.00%,28.00%,48.00%,100%,31.00%,-24.00%,341.61,337.99,341.61
11/22/1989,27.00%,40.00%,33.00%,100%,30.25%,-6.00%,343.97,339.35,343.97
12/1/1989,28.00%,40.00%,32.00%,100%,30.75%,-4.00%,350.63,343.6,350.63
12/8/1989,31.00%,41.00%,28.00%,100%,31.13%,3.00%,351.41,347.59,348.69
12/15/1989,42.00%,30.00%,28.00%,100%,31.50%,14.00%,352.75,348.56,350.14
12/22/1989,36.00%,32.00%,32.00%,100%,31.50%,4.00%,347.42,342.46,347.42
12/29/1989,35.00%,31.00%,34.00%,100%,31.25%,1.00%,353.4,346.81,353.4
1/5/1990,40.00%,30.00%,30.00%,100%,32.88%,10.00%,359.69,352.2,352.2
1/12/1990,45.00%,38.00%,17.00%,100%,35.50%,28.00%,353.79,339.93,339.93
1/19/1990,31.00%,49.00%,20.00%,100%,36.00%,11.00%,340.75,337,339.15
1/26/1990,24.00%,38.00%,38.00%,100%,35.50%,-14.00%,331.61,325.8,325.8
2/2/1990,15.00%,37.00%,48.00%,100%,33.50%,-33.00%,330.92,322.98,330.92
2/9/1990,19.00%,30.00%,51.00%,100%,30.63%,-32.00%,333.75,329.66,333.62
2/16/1990,23.00%,43.00%,34.00%,100%,29.00%,-11.00%,334.89,330.08,332.72
2/23/1990,24.00%,38.00%,38.00%,100%,27.63%,-14.00%,327.99,324.15,324.15
3/2/1990,21.00%,37.00%,42.00%,100%,25.25%,-21.00%,335.54,328.67,335.54
3/9/1990,22.00%,42.00%,36.00%,100%,22.38%,-14.00%,340.27,333.74,337.93
3/16/1990,25.00%,35.00%,40.00%,100%,21.63%,-15.00%,341.91,336,341.91
3/23/1990,37.00%,39.00%,24.00%,100%,23.25%,13.00%,343.53,335.65,337.22
3/30/1990,34.00%,35.00%,31.00%,100%,25.63%,3.00%,342,337.63,339.94
4/6/1990,38.00%,37.00%,25.00%,100%,28.00%,13.00%,343.64,338.7,340.08
4/12/1990,27.00%,56.00%,17.00%,100%,28.50%,10.00%,344.34,341.37,344.34
4/20/1990,34.00%,43.00%,23.00%,100%,29.75%,11.00%,344.74,335.12,335.12
4/27/1990,28.00%,35.00%,37.00%,100%,30.63%,-9.00%,332.92,329.11,329.11
5/4/1990,20.00%,35.00%,45.00%,100%,30.38%,-25.00%,338.39,330.8,338.39
5/11/1990,28.00%,38.00%,34.00%,100%,30.75%,-6.00%,352,340.53,352
5/18/1990,37.00%,35.00%,28.00%,100%,30.75%,9.00%,354.75,354,354.64
5/25/1990,39.00%,32.00%,29.00%,100%,31.38%,10.00%,359.29,354.58,354.58
6/1/1990,37.00%,28.00%,35.00%,100%,31.25%,2.00%,363.16,360.65,363.16
6/8/1990,35.00%,35.00%,30.00%,100%,32.25%,5.00%,367.4,358.71,358.71
6/15/1990,43.00%,32.00%,25.00%,100%,33.38%,18.00%,366.25,361.63,362.91
6/22/1990,34.00%,32.00%,34.00%,100%,34.13%,0.00%,360.47,355.43,355.43
6/29/1990,31.00%,31.00%,38.00%,100%,35.50%,-7.00%,358.02,352.06,358.02
7/6/1990,28.00%,34.00%,38.00%,100%,35.50%,-10.00%,360.16,355.68,358.42
7/13/1990,40.00%,30.00%,30.00%,100%,35.88%,10.00%,367.31,356.49,367.31
7/20/1990,40.00%,30.00%,30.00%,100%,36.00%,10.00%,368.95,361.61,361.61
7/27/1990,52.00%,24.00%,24.00%,100%,37.88%,28.00%,357.09,353.44,353.44
8/3/1990,26.00%,28.00%,46.00%,100%,36.75%,-20.00%,356.15,344.86,344.86
